SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
GUINALIA;b0:48:7a:ed:56:8c;WPA-PSK;2412;;;24
Karine-;30:b5:c2:a0:d8:5a;WPA-PSK;2412;WPS;;37
Ildo;e8:94:f6:d8:08:fc;WPA-PSK;2457;WPS;;22
Marisete_Int02;30:b5:c2:d4:fe:9c;WPA-PSK;2422;WPS;;24
Eron_WiFi;c4:e9:84:f6:62:42;WPA-PSK;2437;;;28
Marisete_Int;30:b5:c2:cc:59:a2;WPA-PSK;2417;WPS;;24
ines;90:f6:52:53:e3:30;WPA-PSK;2452;WPS;;22
Vera_Int;a0:f3:c1:3b:31:0a;WPA-PSK;2427;WPS;;42
Eliezer_Int;64:70:02:82:ac:ca;WPA-PSK;2432;WPS;;28
Neuza;c8:3a:35:09:8e:38;WPA-PSK;2432;;;26
wireom8-p6h;00:0c:42:6b:89:85;WEP;2467;;;31
ALEXANDRE-PC_Network;f8:1a:67:9c:98:76;WPA-PSK;2452;WPS;;35
AndersonNF_Int;c4:e9:84:b8:80:be;WPA-PSK;2432;WPS;;33
Eron;f0:7d:68:e5:37:36;WPA-PSK;2447;;;31
Melise_Int;c8:3a:35:5d:32:78;WPA-PSK;2422;;;22
SOLANGE MADALOSSO;10:fe:ed:6e:fd:5e;WPA-PSK;2437;WPS;;28
vanderlei_Int;c4:6e:1f:e4:d3:f6;WPA-PSK;2427;WPS;;28
Leonel;c8:3a:35:2e:49:80;WPA-PSK;2437;;;31
NP2G-C;00:0c:42:6e:1e:2f;WPA-PSK;2412;;;33
ALUISIO;c8:3a:35:55:03:98;WPA-PSK;2437;;;31
Tania;54:64:d9:ba:c3:05;WPA-PSK;2462;WPS;;28
Oi WiFi Fon;72:64:d9:ba:c3:06;;2462;;;26
Cristian_Net;34:08:04:de:fa:4c;WPA-PSK;2437;WPS;;37
Dalvan;c8:3a:35:0b:84:b0;WPA-PSK;2452;;;26
NITHELI-PC_Network;a0:f3:c1:31:4d:e0;WPA-PSK;2452;WPS;;22
INTELBRAS;00:1a:3f:9e:95:56;WPA-PSK;2462;WPS;;40
Rosa_Int;78:44:76:69:c0:e8;WPA-PSK;2462;;;26
Carmen_Int;c0:4a:00:69:68:c0;WPA-PSK;2427;WPS;;28
Roggiaa;c4:e9:84:b8:4c:f0;WPA-PSK;2412;WPS;;35
Cleusa_Int;e8:de:27:80:b0:1a;WPA-PSK;2427;WPS;;26
wireom5-p2;00:0b:6b:57:43:18;WEP;2412;;;35
nao funciona;6c:19:8f:4d:d9:fc;WPA-PSK;2412;;;33
Broadcom;14:d6:4d:91:7f:82;WPA-PSK;2437;;;28
Glaucia;00:1a:3f:c8:51:51;WPA-PSK;2462;WPS;;24
REDECOLORADO;90:f6:52:4d:fe:60;WPA-PSK;2412;WPS;;22
tplink_sarturi;14:cc:20:9a:04:6a;WPA-PSK;2452;WPS;;22
Casa01;c8:3a:35:48:be:70;WPA-PSK;2452;;;22
Maristane_net;00:1a:3f:82:af:aa;WEP;2462;;;20
Telcar;c4:e9:84:b9:e5:5e;WPA-PSK;2412;WPS;;28
daiane-int;c4:6e:1f:e5:41:fc;WPA-PSK;2437;WPS;;40
HP-Print-BF-Officejet Pro 8610;fc:15:b4:a8:9f:bf;WPA-PSK;2412;;;26
SANTOANTONIO;30:b5:c2:8b:96:b1;WPA-PSK;2412;WPS;;26
91758448;f8:a9:d0:14:34:b1;;2432;;;33
